AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;O;LOS RIOS;PUEBLO VIEJO;150;75184,45;0;0;0;54213,04;45435,11;0;0;99648,15;75334,45
2025;1;E;PICHINCHA;PEDRO VICENTE MALDONADO;0;6026,64;0;0;0;1452,34;470,05;0;169,05;2091,44;6026,64
2025;1;N;GUAYAS;SALITRE;1616,27;0,1;0;0;0;26745,98;2642,84;0;459;29847,82;1616,37
2025;1;Q;CARCHI;MONTUFAR;2038,62;23761,72;0;0;0;2858,81;18019,16;0;0;20877,97;25800,34
2025;1;J;MANABI;ROCAFUERTE;108,7;3300;0;0;0;971,56;47,8;0;0;1019,36;3408,7
2025;1;D;AZUAY;OÑA;0;0;0;0;0;0;0;0;0;0;0
2025;1;P;ESMERALDAS;LA CONCORDIA;0;0;0;0;0;0;0;0;0;0;0
2025;1;Q;MORONA SANTIAGO;HUAMBOYA;0;0;0;0;0;0;0;0;0;0;0
2025;1;X;BOLIVAR;GUARANDA;269,17;0;0;0;0;225,49;0;0;0;225,49;269,17
2025;1;D;CAÑAR;CAÑAR;0;0;0;0;0;0;0;0;0;0;0
2025;1;T;BOLIVAR;CHIMBO;6;0;0;0;0;1;0;0;0;1;6
2025;1;K;LOJA;GONZANAMA;1199,96;1041,44;0;0;0;19987,87;4844,52;0;1971,68;26804,07;2241,4
2025;1;R;MANABI;OLMEDO;0;0;0;0;0;0;0;0;0;0;0
2025;1;E;CHIMBORAZO;CHAMBO;0,01;217,5;0;0;0;729,65;16,47;0;73,5;819,62;217,51
2025;1;H;EL ORO;CHILLA;900;0;0;0;0;800;0;0;0;800;900
2025;1;J;MORONA SANTIAGO;PABLO SEXTO;1590,31;0;0;0;0;1695,27;0;0;0;1695,27;1590,31
2025;1;X;ZAMORA CHINCHIPE;NANGARITZA;0;0;0;0;0;0;0;0;0;0;0
2025;1;V;TUNGURAHUA;SAN PEDRO DE PELILEO;5;0;0;0;0;0;0;0;0;0;5
